# Source: Arcturus5404/miniature-paints (MIT, 2022 Rick Fleuren)
# https://github.com/Arcturus5404/miniature-paints
# Normalized via scripts/build_paint_db.py.
# Hex values are community-derived from vendor swatches; spot-check
# before trusting individual rows. Edit this file directly to correct.
# category=solid is the only category included in the optimizer.
name,brand,line,sku,hex,category,notes
Grey Castle,army_painter,army_painter_fanatic,null,#929286,solid,
Grotesque Green,army_painter,army_painter_fanatic,null,#B3C29D,solid,
Guardian Green,army_painter,army_painter_fanatic,null,#226248,solid,
Gun Metal,army_painter,army_painter_fanatic,null,#4F5053,metallic,
Hexed Violet,army_painter,army_painter_fanatic,null,#8D81BE,solid,
Hydra Turquoise,army_painter,army_painter_fanatic,null,#149398,solid,
Ice Yellow,army_painter,army_painter_fanatic,null,#FFEDAD,solid,
Imperial Navy,army_painter,army_painter_fanatic,null,#063565,solid,
Impish Rouge,army_painter,army_painter_fanatic,null,#D957A0,solid,
Inner Light,army_painter,army_painter_fanatic,null,#FDCB5F,solid,
Jasper Skin,army_painter,army_painter_fanatic,null,#BA7372,solid,
Kraken Lavender,army_painter,army_painter_fanatic,null,#D5CAE5,solid,
Lava Orange,army_painter,army_painter_fanatic,null,#F5792C,solid,
Leafy Green,army_painter,army_painter_fanatic,null,#76C045,solid,
Leather Brown,army_painter,army_painter_fanatic,null,#7C5B54,solid,
Legendary Red,army_painter,army_painter_fanatic,null,#EF4B3E,solid,
Leopard Stone Skin,army_painter,army_painter_fanatic,null,#E7B4B1,solid,
Magecast Magenta,army_painter,army_painter_fanatic,null,#704099,solid,
Marine Mist,army_painter,army_painter_fanatic,null,#94D6D7,solid,
Matt Black,army_painter,army_painter_fanatic,null,#000000,solid,
Matt White,army_painter,army_painter_fanatic,null,#FFFFFF,solid,
Medieval Forest,army_painter,army_painter_fanatic,null,#437C6D,solid,
Mithril,army_painter,army_painter_fanatic,null,#9E9FA3,solid,
Mocca Skin,army_painter,army_painter_fanatic,null,#81655A,solid,
Moldy Wine,army_painter,army_painter_fanatic,null,#7D3451,solid,
Molten Lava,army_painter,army_painter_fanatic,null,#F05A3E,solid,
Moonstone Skin,army_painter,army_painter_fanatic,null,#C57B74,solid,
Mossy Green,army_painter,army_painter_fanatic,null,#B1DCC0,solid,
Mulled Berry,army_painter,army_painter_fanatic,null,#623348,solid,
Necrotic Flesh,army_painter,army_painter_fanatic,null,#9AA984,solid,
Neptune Glow,army_painter,army_painter_fanatic,null,#75CED4,exclude,
Night Sky,army_painter,army_painter_fanatic,null,#304358,solid,
Oak Brown,army_painter,army_painter_fanatic,null,#39262A,solid,
Obsidian Skin,army_painter,army_painter_fanatic,null,#4A4046,solid,
Olive Drab,army_painter,army_painter_fanatic,null,#7A905F,solid,
Onyx Skin,army_painter,army_painter_fanatic,null,#664A4D,solid,
Opal Skin,army_painter,army_painter_fanatic,null,#FFD2C8,solid,
Pale Sand,army_painter,army_painter_fanatic,null,#EFEAD3,solid,
Paratrooper Tan,army_painter,army_painter_fanatic,null,#9A776C,solid,
Patagon Pine,army_painter,army_painter_fanatic,null,#63917F,solid,
Pearl Skin,army_painter,army_painter_fanatic,null,#FFE3D8,solid,
Phalanx Blue,army_painter,army_painter_fanatic,null,#048BAE,solid,
Pharaoh Guard,army_painter,army_painter_fanatic,null,#0C7C61,solid,
Pink Potion,army_painter,army_painter_fanatic,null,#F4B9D4,solid,
Pixie Pink,army_painter,army_painter_fanatic,null,#D96FAE,solid,
Plate Mail Metal,army_painter,army_painter_fanatic,null,#686A6E,metallic,
Prairie Ochre,army_painter,army_painter_fanatic,null,#696242,solid,
Pure Red,army_painter,army_painter_fanatic,null,#CD151C,solid,
Quartz Skin,army_painter,army_painter_fanatic,null,#F0D0B4,solid,
Raging Rose,army_painter,army_painter_fanatic,null,#E96663,solid,
Raging Rouge,army_painter,army_painter_fanatic,null,#F68F82,solid,
Rainforest,army_painter,army_painter_fanatic,null,#8BC63E,solid,
Red Copper,army_painter,army_painter_fanatic,null,#4D2C30,metallic,
Regal Blue,army_painter,army_painter_fanatic,null,#004F88,solid,
Resplendent Red,army_painter,army_painter_fanatic,null,#96272F,solid,
Rough Iron,army_painter,army_painter_fanatic,null,#352D25,solid,
Royal Blue,army_painter,army_painter_fanatic,null,#0162AF,solid,
Ruby Skin,army_painter,army_painter_fanatic,null,#FBB99D,solid,
Ruddy Umber,army_painter,army_painter_fanatic,null,#985951,solid,
Runic Cobalt,army_painter,army_painter_fanatic,null,#7496B4,solid,
Sacred Scarlet,army_painter,army_painter_fanatic,null,#F1634C,solid,
Scarab Green,army_painter,army_painter_fanatic,null,#193C44,solid,
Shieldwall Blue,army_painter,army_painter_fanatic,null,#08A1CC,solid,
Shining Silver,army_painter,army_painter_fanatic,null,#86888C,metallic,
Skeleton Bone,army_painter,army_painter_fanatic,null,#C2B293,solid,
Space Dust,army_painter,army_painter_fanatic,null,#FFE388,solid,
Spellbound Fuchsia,army_painter,army_painter_fanatic,null,#AD4DA0,solid,
Stratos Blue,army_painter,army_painter_fanatic,null,#33658F,solid,
Tainted Gold,army_painter,army_painter_fanatic,null,#575235,metallic,
Talisman Teal,army_painter,army_painter_fanatic,null,#1FAE91,solid,
Temple Gate Teal,army_painter,army_painter_fanatic,null,#046154,solid,
Terrestial Titan,army_painter,army_painter_fanatic,null,#303149,solid,
Thunderous Blue,army_painter,army_painter_fanatic,null,#34577B,solid,
Tidal Blue,army_painter,army_painter_fanatic,null,#026B93,solid,
Tiger’s Eye Skin,army_painter,army_painter_fanatic,null,#904D52,solid,
Tomb King Tan,army_painter,army_painter_fanatic,null,#A29278,solid,
Topaz Skin,army_painter,army_painter_fanatic,null,#B25A53,solid,
Tourmaline Skin,army_painter,army_painter_fanatic,null,#E3988B,solid,
Tree Ancient,army_painter,army_painter_fanatic,null,#513430,solid,
Triumphant Navy,army_painter,army_painter_fanatic,null,#1A2C53,solid,
True Brass,army_painter,army_painter_fanatic,null,#635D58,metallic,
True Copper,army_painter,army_painter_fanatic,null,#6B4731,metallic,
Tundra Taupe,army_painter,army_painter_fanatic,null,#4B4D3E,solid,
Turquoise Siren,army_painter,army_painter_fanatic,null,#29B3B9,solid,
Ultramarine Blue,army_painter,army_painter_fanatic,null,#284D8E,solid,
Uniform Grey,army_painter,army_painter_fanatic,null,#6B707C,solid,
Urban Buff,army_painter,army_painter_fanatic,null,#DBB9AB,solid,
Violent Vermillion,army_painter,army_painter_fanatic,null,#F37964,solid,
